Loan Type,Encoded Value
"Debt Consolidation Loan, Personal Loan, Mortgage Loan, and Credit-Builder Loan",868
"Payday Loan, Credit-Builder Loan, Personal Loan, Home Equity Loan, Debt Consolidation Loan, Personal Loan, and Home Equity Loan",206
"Debt Consolidation Loan, Student Loan, Credit-Builder Loan, Debt Consolidation Loan, Auto Loan, Debt Consolidation Loan, Auto Loan, Credit-Builder Loan, and Payday Loan",500
"Student Loan, Auto Loan, and Not Specified",556
"Student Loan, Mortgage Loan, Payday Loan, Mortgage Loan, Payday Loan, and Student Loan",967
"Not Specified, Debt Consolidation Loan, Credit-Builder Loan, and Payday Loan",652
"Student Loan, Student Loan, Credit-Builder Loan, Home Equity Loan, Debt Consolidation Loan, and Payday Loan",737
"Auto Loan, Payday Loan, Mortgage Loan, and Debt Consolidation Loan",896
"Credit-Builder Loan, Payday Loan, Personal Loan, and Debt Consolidation Loan",468
"Mortgage Loan, Payday Loan, Credit-Builder Loan, and Auto Loan",264
"Home Equity Loan, Not Specified, Not Specified, Mortgage Loan, Personal Loan, Auto Loan, and Home Equity Loan",794
"Payday Loan, Credit-Builder Loan, Student Loan, Mortgage Loan, Credit-Builder Loan, Payday Loan, Personal Loan, and Mortgage Loan",751
"Payday Loan, Not Specified, Student Loan, Payday Loan, Payday Loan, and Home Equity Loan",207
"Auto Loan, Student Loan, Payday Loan, Payday Loan, Personal Loan, and Debt Consolidation Loan",714
"Not Specified, Student Loan, Auto Loan, and Payday Loan",789
"Credit-Builder Loan, Student Loan, Credit-Builder Loan, and Credit-Builder Loan",141
"Credit-Builder Loan, Student Loan, Personal Loan, and Payday Loan",951
"Payday Loan, Home Equity Loan, Payday Loan, Home Equity Loan, and Credit-Builder Loan",204
"Student Loan, Debt Consolidation Loan, Credit-Builder Loan, Not Specified, Home Equity Loan, and Home Equity Loan",615
"Payday Loan, Mortgage Loan, Auto Loan, Credit-Builder Loan, and Not Specified",498
"Personal Loan, Home Equity Loan, Debt Consolidation Loan, Mortgage Loan, and Debt Consolidation Loan",844
"Payday Loan, Mortgage Loan, Personal Loan, and Student Loan",169
"Auto Loan, Payday Loan, and Auto Loan",156
"Student Loan, Mortgage Loan, Personal Loan, and Payday Loan",812
"Debt Consolidation Loan, Payday Loan, and Auto Loan",520
"Student Loan, Home Equity Loan, and Personal Loan",278
"Auto Loan, Student Loan, Not Specified, Student Loan, Payday Loan, and Student Loan",160
"Not Specified, Student Loan, and Payday Loan",904
"Student Loan, Mortgage Loan, Personal Loan, Student Loan, Debt Consolidation Loan, Payday Loan, Student Loan, Student Loan, and Payday Loan",325
"Not Specified, Debt Consolidation Loan, Payday Loan, Student Loan, Payday Loan, and Home Equity Loan",877
"Debt Consolidation Loan, Payday Loan, and Personal Loan",223
"Mortgage Loan, Student Loan, Debt Consolidation Loan, and Not Specified",930
"Payday Loan, Student Loan, Credit-Builder Loan, Home Equity Loan, Payday Loan, and Mortgage Loan",978
"Auto Loan, Credit-Builder Loan, Home Equity Loan, Credit-Builder Loan, Not Specified, Not Specified, and Mortgage Loan",104
"Mortgage Loan, Auto Loan, Personal Loan, Payday Loan, Home Equity Loan, Personal Loan, Debt Consolidation Loan, Student Loan, and Mortgage Loan",550
"Home Equity Loan, Student Loan, Payday Loan, Debt Consolidation Loan, and Home Equity Loan",381
"Personal Loan, Payday Loan, Not Specified, and Personal Loan",870
"Auto Loan, Credit-Builder Loan, Debt Consolidation Loan, Personal Loan, Mortgage Loan, Payday Loan, and Student Loan",703
"Home Equity Loan, Auto Loan, Personal Loan, and Personal Loan",227
"Payday Loan, Auto Loan, Student Loan, Payday Loan, Personal Loan, and Credit-Builder Loan",145
"Debt Consolidation Loan, Home Equity Loan, Home Equity Loan, Student Loan, Not Specified, Home Equity Loan, Student Loan, and Payday Loan",676
"Auto Loan, Auto Loan, Not Specified, Debt Consolidation Loan, Not Specified, Credit-Builder Loan, Debt Consolidation Loan, and Personal Loan",602
"Debt Consolidation Loan, Payday Loan, and Payday Loan",773
"Debt Consolidation Loan, Debt Consolidation Loan, Payday Loan, and Home Equity Loan",626
"Credit-Builder Loan, Mortgage Loan, Auto Loan, and Home Equity Loan",847
"Not Specified, Credit-Builder Loan, Student Loan, and Home Equity Loan",596
"Debt Consolidation Loan, Auto Loan, Credit-Builder Loan, Auto Loan, Auto Loan, and Mortgage Loan",498
"Auto Loan, Auto Loan, Student Loan, and Personal Loan",414
"Not Specified, Mortgage Loan, Debt Consolidation Loan, Mortgage Loan, Mortgage Loan, Mortgage Loan, Mortgage Loan, and Personal Loan",815
"Credit-Builder Loan, Payday Loan, Payday Loan, and Payday Loan",290
"Auto Loan, Home Equity Loan, and Not Specified",777
"Credit-Builder Loan, Not Specified, Mortgage Loan, and Debt Consolidation Loan",645
"Debt Consolidation Loan, Auto Loan, Personal Loan, Student Loan, and Auto Loan",603
"Credit-Builder Loan, Student Loan, Personal Loan, Mortgage Loan, Payday Loan, Payday Loan, and Student Loan",195
"Payday Loan, Auto Loan, Personal Loan, Mortgage Loan, Mortgage Loan, Payday Loan, Not Specified, Mortgage Loan, and Credit-Builder Loan",231
"Mortgage Loan, Not Specified, and Personal Loan",890
"Home Equity Loan, Auto Loan, Mortgage Loan, Auto Loan, Auto Loan, Personal Loan, Credit-Builder Loan, Mortgage Loan, and Payday Loan",694
"Not Specified, Credit-Builder Loan, Personal Loan, and Personal Loan",212
"Personal Loan, Home Equity Loan, Credit-Builder Loan, Student Loan, Debt Consolidation Loan, and Mortgage Loan",133
"Payday Loan, Debt Consolidation Loan, Student Loan, and Auto Loan",789
"Home Equity Loan, Personal Loan, and Credit-Builder Loan",284
"Student Loan, Credit-Builder Loan, Debt Consolidation Loan, Student Loan, Personal Loan, Debt Consolidation Loan, and Personal Loan",113
"Debt Consolidation Loan, Credit-Builder Loan, Payday Loan, Credit-Builder Loan, Credit-Builder Loan, Not Specified, Personal Loan, Auto Loan, and Not Specified",365
"Home Equity Loan, Credit-Builder Loan, Home Equity Loan, Mortgage Loan, and Credit-Builder Loan",152
"Payday Loan, Mortgage Loan, Not Specified, Auto Loan, Credit-Builder Loan, and Home Equity Loan",357
"Payday Loan, Debt Consolidation Loan, Not Specified, Debt Consolidation Loan, and Mortgage Loan",865
"Home Equity Loan, Mortgage Loan, Home Equity Loan, Credit-Builder Loan, Credit-Builder Loan, Payday Loan, Credit-Builder Loan, and Payday Loan",973
"Not Specified, Credit-Builder Loan, Student Loan, Not Specified, Payday Loan, Auto Loan, and Payday Loan",193
"Student Loan, Mortgage Loan, Credit-Builder Loan, and Debt Consolidation Loan",437
"Debt Consolidation Loan, Payday Loan, Credit-Builder Loan, Debt Consolidation Loan, Not Specified, Home Equity Loan, Payday Loan, Debt Consolidation Loan, and Credit-Builder Loan",267
"Mortgage Loan, Personal Loan, Student Loan, Student Loan, Not Specified, Home Equity Loan, Payday Loan, Credit-Builder Loan, and Auto Loan",584
"Student Loan, Credit-Builder Loan, Credit-Builder Loan, and Credit-Builder Loan",739
"Home Equity Loan, Personal Loan, Mortgage Loan, Student Loan, Not Specified, Payday Loan, and Payday Loan",210
"Personal Loan, Home Equity Loan, Credit-Builder Loan, Credit-Builder Loan, Personal Loan, Credit-Builder Loan, Student Loan, and Home Equity Loan",627
"Home Equity Loan, Home Equity Loan, Personal Loan, Not Specified, Credit-Builder Loan, and Student Loan",313
"Not Specified, Mortgage Loan, Debt Consolidation Loan, and Credit-Builder Loan",501
"Credit-Builder Loan, Student Loan, Mortgage Loan, Personal Loan, and Home Equity Loan",340
"Payday Loan, Not Specified, and Payday Loan",619
"Personal Loan, Personal Loan, Credit-Builder Loan, and Personal Loan",198
"Credit-Builder Loan, Auto Loan, Home Equity Loan, Personal Loan, Credit-Builder Loan, Home Equity Loan, and Credit-Builder Loan",622
"Payday Loan, Student Loan, Credit-Builder Loan, Personal Loan, Debt Consolidation Loan, Payday Loan, and Home Equity Loan",743
"Credit-Builder Loan, Debt Consolidation Loan, Student Loan, and Debt Consolidation Loan",813
"Student Loan, Credit-Builder Loan, Payday Loan, Mortgage Loan, and Student Loan",284
"Mortgage Loan, Mortgage Loan, Auto Loan, Mortgage Loan, Personal Loan, Auto Loan, Personal Loan, and Auto Loan",774
"Credit-Builder Loan, Auto Loan, Personal Loan, and Not Specified",469
"Personal Loan, Personal Loan, Credit-Builder Loan, and Student Loan",930
"Student Loan, Debt Consolidation Loan, Auto Loan, and Auto Loan",806
"Mortgage Loan, Debt Consolidation Loan, Mortgage Loan, Auto Loan, and Credit-Builder Loan",421
"Not Specified, Not Specified, Payday Loan, Not Specified, and Student Loan",838
"Payday Loan, Not Specified, and Not Specified",902
"Payday Loan, Payday Loan, and Mortgage Loan",371
"Credit-Builder Loan, Payday Loan, Auto Loan, Student Loan, Home Equity Loan, and Mortgage Loan",649
"Debt Consolidation Loan, Credit-Builder Loan, Credit-Builder Loan, and Home Equity Loan",374
"Student Loan, Auto Loan, Personal Loan, Mortgage Loan, Student Loan, and Home Equity Loan",330
"Not Specified, Not Specified, and Auto Loan",290
"Mortgage Loan, Student Loan, Mortgage Loan, Payday Loan, and Student Loan",841
"Credit-Builder Loan, Debt Consolidation Loan, Not Specified, and Not Specified",887
"Credit-Builder Loan, Auto Loan, Debt Consolidation Loan, and Payday Loan",131
"Not Specified, Personal Loan, Auto Loan, and Home Equity Loan",529
"Debt Consolidation Loan, Not Specified, Mortgage Loan, Payday Loan, and Payday Loan",817
"Payday Loan, Debt Consolidation Loan, and Mortgage Loan",454
"Credit-Builder Loan, Not Specified, and Student Loan",627
"Home Equity Loan, Debt Consolidation Loan, Auto Loan, Debt Consolidation Loan, Not Specified, Mortgage Loan, Mortgage Loan, Auto Loan, and Mortgage Loan",933
"Not Specified, Credit-Builder Loan, Mortgage Loan, Auto Loan, Payday Loan, Auto Loan, Credit-Builder Loan, Mortgage Loan, and Home Equity Loan",741
"Personal Loan, Auto Loan, and Auto Loan",511
"Mortgage Loan, Payday Loan, Payday Loan, and Credit-Builder Loan",250
"Debt Consolidation Loan, Mortgage Loan, Mortgage Loan, Auto Loan, Personal Loan, Payday Loan, Not Specified, and Auto Loan",261
"Student Loan, Home Equity Loan, Mortgage Loan, Not Specified, Not Specified, Payday Loan, Payday Loan, Home Equity Loan, and Not Specified",741
"Student Loan, Mortgage Loan, and Credit-Builder Loan",456
"Home Equity Loan, Auto Loan, and Student Loan",392
"Credit-Builder Loan, Home Equity Loan, Auto Loan, Credit-Builder Loan, Home Equity Loan, Mortgage Loan, and Credit-Builder Loan",562
"Payday Loan, Student Loan, Not Specified, and Debt Consolidation Loan",381
"Debt Consolidation Loan, Mortgage Loan, and Personal Loan",996
"Credit-Builder Loan, Payday Loan, Home Equity Loan, Credit-Builder Loan, Student Loan, Auto Loan, and Personal Loan",665
"Home Equity Loan, Personal Loan, Payday Loan, Student Loan, Payday Loan, Personal Loan, Personal Loan, Not Specified, and Payday Loan",765
"Auto Loan, Student Loan, Mortgage Loan, Home Equity Loan, Student Loan, Debt Consolidation Loan, and Home Equity Loan",936
"Debt Consolidation Loan, Credit-Builder Loan, Auto Loan, Credit-Builder Loan, Payday Loan, Credit-Builder Loan, Mortgage Loan, Debt Consolidation Loan, and Home Equity Loan",891
"Not Specified, Personal Loan, Payday Loan, Not Specified, and Personal Loan",552
"Credit-Builder Loan, Debt Consolidation Loan, Home Equity Loan, Auto Loan, Payday Loan, Personal Loan, and Home Equity Loan",834
"Credit-Builder Loan, Credit-Builder Loan, Credit-Builder Loan, and Home Equity Loan",767
"Mortgage Loan, Auto Loan, Debt Consolidation Loan, and Auto Loan",935
"Payday Loan, Personal Loan, Debt Consolidation Loan, Payday Loan, and Student Loan",686
"Not Specified, Not Specified, Home Equity Loan, Student Loan, Not Specified, Personal Loan, and Not Specified",326
"Auto Loan, Home Equity Loan, Home Equity Loan, Not Specified, and Personal Loan",632
"Credit-Builder Loan, Payday Loan, Home Equity Loan, Mortgage Loan, Auto Loan, Personal Loan, Home Equity Loan, and Mortgage Loan",658
"Auto Loan, Mortgage Loan, Auto Loan, Payday Loan, and Not Specified",535
"Debt Consolidation Loan, Credit-Builder Loan, Credit-Builder Loan, Credit-Builder Loan, Personal Loan, and Not Specified",540
"Credit-Builder Loan, Not Specified, Not Specified, Credit-Builder Loan, and Payday Loan",918
"Student Loan, Personal Loan, Debt Consolidation Loan, Home Equity Loan, Debt Consolidation Loan, Mortgage Loan, Home Equity Loan, Mortgage Loan, and Auto Loan",233
"Home Equity Loan, Student Loan, Payday Loan, Personal Loan, and Auto Loan",393
"Auto Loan, Payday Loan, Personal Loan, Payday Loan, Debt Consolidation Loan, Mortgage Loan, and Home Equity Loan",275
"Auto Loan, Personal Loan, Mortgage Loan, Credit-Builder Loan, and Mortgage Loan",774
"Credit-Builder Loan, Mortgage Loan, Credit-Builder Loan, Not Specified, Personal Loan, and Student Loan",424
"Personal Loan, Credit-Builder Loan, Credit-Builder Loan, Home Equity Loan, Student Loan, and Home Equity Loan",249
"Student Loan, Credit-Builder Loan, Mortgage Loan, Mortgage Loan, and Home Equity Loan",475
"Mortgage Loan, Not Specified, Not Specified, Mortgage Loan, Student Loan, Auto Loan, and Credit-Builder Loan",834
"Auto Loan, Mortgage Loan, and Mortgage Loan",477
"Home Equity Loan, Debt Consolidation Loan, Payday Loan, Mortgage Loan, Credit-Builder Loan, Auto Loan, Debt Consolidation Loan, and Mortgage Loan",421
"Credit-Builder Loan, Mortgage Loan, Not Specified, Not Specified, Credit-Builder Loan, Auto Loan, and Credit-Builder Loan",627
"Personal Loan, Payday Loan, Student Loan, Debt Consolidation Loan, Credit-Builder Loan, Credit-Builder Loan, and Mortgage Loan",675
"Not Specified, Auto Loan, Mortgage Loan, and Payday Loan",453
"Debt Consolidation Loan, Student Loan, Payday Loan, Auto Loan, Payday Loan, and Not Specified",759
"Personal Loan, Personal Loan, Not Specified, Auto Loan, Credit-Builder Loan, and Student Loan",383
"Home Equity Loan, Auto Loan, Mortgage Loan, and Payday Loan",916
"Mortgage Loan, Home Equity Loan, Home Equity Loan, Payday Loan, Not Specified, Personal Loan, Payday Loan, and Credit-Builder Loan",421
"Home Equity Loan, Mortgage Loan, Payday Loan, Student Loan, Payday Loan, and Home Equity Loan",409
"Credit-Builder Loan, Student Loan, Student Loan, and Credit-Builder Loan",481
"Credit-Builder Loan, Auto Loan, and Personal Loan",842
"Student Loan, Auto Loan, Auto Loan, Student Loan, Auto Loan, and Mortgage Loan",294
"Student Loan, Personal Loan, and Credit-Builder Loan",659
"Payday Loan, Student Loan, Mortgage Loan, Personal Loan, and Mortgage Loan",534
"Auto Loan, Student Loan, Credit-Builder Loan, and Credit-Builder Loan",126
"Auto Loan, Mortgage Loan, Not Specified, Personal Loan, Auto Loan, Mortgage Loan, Student Loan, and Payday Loan",183
"Not Specified, Auto Loan, Credit-Builder Loan, Personal Loan, Auto Loan, and Auto Loan",466
"Credit-Builder Loan, Credit-Builder Loan, Home Equity Loan, Personal Loan, Auto Loan, and Debt Consolidation Loan",398
"Mortgage Loan, Student Loan, and Not Specified",497
"Student Loan, Home Equity Loan, Personal Loan, Home Equity Loan, Debt Consolidation Loan, and Student Loan",417
"Home Equity Loan, Not Specified, Not Specified, Personal Loan, Not Specified, Mortgage Loan, Mortgage Loan, and Personal Loan",642
"Auto Loan, Payday Loan, Credit-Builder Loan, and Personal Loan",835
"Not Specified, Debt Consolidation Loan, Home Equity Loan, Mortgage Loan, and Personal Loan",540
"Payday Loan, Mortgage Loan, Debt Consolidation Loan, and Credit-Builder Loan",311
"Student Loan, Payday Loan, Payday Loan, Home Equity Loan, Not Specified, and Not Specified",259
"Payday Loan, Payday Loan, Payday Loan, and Debt Consolidation Loan",342
"Debt Consolidation Loan, Personal Loan, Credit-Builder Loan, Mortgage Loan, Mortgage Loan, Home Equity Loan, and Payday Loan",315
"Auto Loan, Student Loan, Personal Loan, Auto Loan, Mortgage Loan, Auto Loan, and Home Equity Loan",814
"Auto Loan, Credit-Builder Loan, Student Loan, Student Loan, Payday Loan, Payday Loan, Auto Loan, Auto Loan, and Debt Consolidation Loan",357
"Mortgage Loan, Debt Consolidation Loan, and Personal Loan",181
"Credit-Builder Loan, Student Loan, and Credit-Builder Loan",963
"Home Equity Loan, Mortgage Loan, Auto Loan, Mortgage Loan, Mortgage Loan, and Home Equity Loan",317
"Personal Loan, Home Equity Loan, Home Equity Loan, Debt Consolidation Loan, and Credit-Builder Loan",552
"Credit-Builder Loan, Home Equity Loan, and Mortgage Loan",314
"Credit-Builder Loan, Credit-Builder Loan, Mortgage Loan, Credit-Builder Loan, and Credit-Builder Loan",734
"Auto Loan, Home Equity Loan, Home Equity Loan, Debt Consolidation Loan, Payday Loan, and Student Loan",680
"Not Specified, Payday Loan, Student Loan, and Payday Loan",926
"Credit-Builder Loan, Mortgage Loan, Mortgage Loan, Auto Loan, Payday Loan, Credit-Builder Loan, Student Loan, and Not Specified",547
"Auto Loan, Home Equity Loan, Credit-Builder Loan, Student Loan, Home Equity Loan, and Mortgage Loan",620
"Debt Consolidation Loan, Not Specified, Debt Consolidation Loan, and Debt Consolidation Loan",144
"Student Loan, Auto Loan, Home Equity Loan, Credit-Builder Loan, Debt Consolidation Loan, Credit-Builder Loan, Not Specified, Payday Loan, and Auto Loan",135
"Student Loan, Mortgage Loan, Home Equity Loan, Home Equity Loan, Personal Loan, Not Specified, and Auto Loan",754
"Mortgage Loan, Auto Loan, Payday Loan, and Debt Consolidation Loan",628
"Student Loan, Personal Loan, Mortgage Loan, and Mortgage Loan",678
"Home Equity Loan, Credit-Builder Loan, Debt Consolidation Loan, Debt Consolidation Loan, Personal Loan, and Home Equity Loan",287
"Debt Consolidation Loan, Personal Loan, and Not Specified",497
"Debt Consolidation Loan, Debt Consolidation Loan, Home Equity Loan, Home Equity Loan, Credit-Builder Loan, and Personal Loan",883
"Mortgage Loan, Payday Loan, Auto Loan, Debt Consolidation Loan, Credit-Builder Loan, Student Loan, Personal Loan, and Personal Loan",184
"Debt Consolidation Loan, Debt Consolidation Loan, Debt Consolidation Loan, Mortgage Loan, Home Equity Loan, and Personal Loan",363
"Payday Loan, Auto Loan, Not Specified, and Credit-Builder Loan",947
"Not Specified, Payday Loan, Home Equity Loan, Mortgage Loan, Home Equity Loan, Home Equity Loan, Not Specified, and Home Equity Loan",500
"Auto Loan, Home Equity Loan, Not Specified, Auto Loan, Credit-Builder Loan, and Debt Consolidation Loan",673
"Personal Loan, Home Equity Loan, Home Equity Loan, and Personal Loan",630
"Personal Loan, Credit-Builder Loan, Auto Loan, Home Equity Loan, Personal Loan, and Auto Loan",590
"Home Equity Loan, Not Specified, Student Loan, Home Equity Loan, and Mortgage Loan",354
"Credit-Builder Loan, Credit-Builder Loan, and Not Specified",474
"Personal Loan, Credit-Builder Loan, Personal Loan, Credit-Builder Loan, Credit-Builder Loan, Debt Consolidation Loan, Credit-Builder Loan, and Not Specified",212
"Mortgage Loan, Not Specified, Not Specified, Personal Loan, Auto Loan, Not Specified, Payday Loan, Debt Consolidation Loan, and Mortgage Loan",900
"Payday Loan, Home Equity Loan, Credit-Builder Loan, Student Loan, Debt Consolidation Loan, Payday Loan, and Payday Loan",663
"Debt Consolidation Loan, Personal Loan, Debt Consolidation Loan, Student Loan, Payday Loan, Student Loan, and Student Loan",369
"Home Equity Loan, Debt Consolidation Loan, Credit-Builder Loan, Credit-Builder Loan, and Student Loan",780
"Debt Consolidation Loan, Payday Loan, Home Equity Loan, Auto Loan, Credit-Builder Loan, and Debt Consolidation Loan",913
"Personal Loan, Home Equity Loan, Debt Consolidation Loan, and Credit-Builder Loan",189
"Auto Loan, Mortgage Loan, Debt Consolidation Loan, Auto Loan, and Student Loan",900
"Student Loan, Student Loan, Not Specified, Payday Loan, and Debt Consolidation Loan",697
"Payday Loan, Student Loan, Personal Loan, Personal Loan, and Personal Loan",461
"Payday Loan, Credit-Builder Loan, Student Loan, and Auto Loan",164
"Personal Loan, Mortgage Loan, Auto Loan, and Credit-Builder Loan",857
"Not Specified, Personal Loan, Mortgage Loan, Mortgage Loan, and Student Loan",209
"Student Loan, Credit-Builder Loan, Credit-Builder Loan, Mortgage Loan, Home Equity Loan, and Personal Loan",698
"Payday Loan, Auto Loan, Auto Loan, and Auto Loan",622
"Auto Loan, Credit-Builder Loan, Auto Loan, Mortgage Loan, Not Specified, Personal Loan, and Credit-Builder Loan",211
"Mortgage Loan, Student Loan, Auto Loan, Home Equity Loan, Mortgage Loan, Payday Loan, Home Equity Loan, Credit-Builder Loan, and Not Specified",397
"Payday Loan, Not Specified, and Debt Consolidation Loan",403
"Home Equity Loan, Home Equity Loan, Not Specified, Home Equity Loan, Debt Consolidation Loan, Credit-Builder Loan, Not Specified, Mortgage Loan, and Credit-Builder Loan",861
"Not Specified, Mortgage Loan, Home Equity Loan, Personal Loan, Payday Loan, Payday Loan, Auto Loan, and Personal Loan",120
"Credit-Builder Loan, Debt Consolidation Loan, Mortgage Loan, Mortgage Loan, and Student Loan",592
"Payday Loan, Mortgage Loan, Payday Loan, Payday Loan, Student Loan, and Personal Loan",462
"Mortgage Loan, Auto Loan, and Mortgage Loan",982
"Payday Loan, Student Loan, Credit-Builder Loan, Not Specified, Payday Loan, and Not Specified",292
"Not Specified, Mortgage Loan, Not Specified, and Home Equity Loan",850
"Home Equity Loan, Student Loan, Debt Consolidation Loan, Not Specified, Mortgage Loan, Personal Loan, and Auto Loan",421
"Personal Loan, Credit-Builder Loan, Auto Loan, Credit-Builder Loan, and Payday Loan",263
"Debt Consolidation Loan, Student Loan, Auto Loan, Auto Loan, and Not Specified",784
"Personal Loan, Not Specified, and Auto Loan",190
"Student Loan, Mortgage Loan, Auto Loan, Student Loan, and Mortgage Loan",278
"Credit-Builder Loan, Home Equity Loan, Student Loan, Student Loan, and Credit-Builder Loan",680
"Mortgage Loan, Auto Loan, Not Specified, and Personal Loan",341
"Mortgage Loan, Payday Loan, Home Equity Loan, Debt Consolidation Loan, and Credit-Builder Loan",989
"Debt Consolidation Loan, Home Equity Loan, Payday Loan, and Not Specified",910
"Debt Consolidation Loan, Credit-Builder Loan, and Student Loan",987
"Payday Loan, Mortgage Loan, Not Specified, Credit-Builder Loan, and Not Specified",123
"Home Equity Loan, Debt Consolidation Loan, Student Loan, Credit-Builder Loan, Personal Loan, Credit-Builder Loan, Personal Loan, Home Equity Loan, and Personal Loan",203
"Debt Consolidation Loan, Auto Loan, Not Specified, and Not Specified",441
"Student Loan, Personal Loan, Home Equity Loan, Home Equity Loan, Not Specified, and Not Specified",340
"Credit-Builder Loan, Debt Consolidation Loan, and Mortgage Loan",817
"Mortgage Loan, Debt Consolidation Loan, Debt Consolidation Loan, Mortgage Loan, Home Equity Loan, Student Loan, and Personal Loan",751
"Student Loan, Credit-Builder Loan, Debt Consolidation Loan, and Credit-Builder Loan",834
"Not Specified, Credit-Builder Loan, Debt Consolidation Loan, and Student Loan",762
"Student Loan, Home Equity Loan, Not Specified, and Not Specified",410
"Not Specified, Personal Loan, Home Equity Loan, Auto Loan, Mortgage Loan, Payday Loan, Student Loan, Student Loan, and Not Specified",379
"Not Specified, Personal Loan, Credit-Builder Loan, Home Equity Loan, Home Equity Loan, Home Equity Loan, and Student Loan",309
"Student Loan, Personal Loan, Not Specified, and Home Equity Loan",258
"Payday Loan, Student Loan, Debt Consolidation Loan, Auto Loan, Auto Loan, Not Specified, Credit-Builder Loan, and Auto Loan",819
"Payday Loan, Payday Loan, Debt Consolidation Loan, Debt Consolidation Loan, and Mortgage Loan",841
"Debt Consolidation Loan, Home Equity Loan, Payday Loan, Mortgage Loan, Personal Loan, Auto Loan, Debt Consolidation Loan, Payday Loan, and Auto Loan",723
"Debt Consolidation Loan, Not Specified, Home Equity Loan, and Personal Loan",401
"Debt Consolidation Loan, Payday Loan, Personal Loan, Home Equity Loan, Home Equity Loan, Student Loan, and Debt Consolidation Loan",642
"Home Equity Loan, Auto Loan, Home Equity Loan, Debt Consolidation Loan, and Personal Loan",548
"Mortgage Loan, Personal Loan, Home Equity Loan, and Student Loan",452
"Student Loan, Personal Loan, Mortgage Loan, Credit-Builder Loan, and Mortgage Loan",767
"Student Loan, Student Loan, Not Specified, and Payday Loan",273
"Debt Consolidation Loan, Student Loan, Auto Loan, Payday Loan, Mortgage Loan, and Debt Consolidation Loan",298
"Credit-Builder Loan, Payday Loan, Not Specified, and Debt Consolidation Loan",245
"Not Specified, Auto Loan, and Payday Loan",985
"Student Loan, Mortgage Loan, Credit-Builder Loan, Debt Consolidation Loan, Auto Loan, and Not Specified",407
"Mortgage Loan, Payday Loan, Payday Loan, Personal Loan, Student Loan, Auto Loan, Mortgage Loan, Mortgage Loan, and Auto Loan",737
"Payday Loan, Personal Loan, Payday Loan, and Debt Consolidation Loan",271
"Credit-Builder Loan, Credit-Builder Loan, Student Loan, and Home Equity Loan",581
"Personal Loan, Home Equity Loan, Auto Loan, Mortgage Loan, Mortgage Loan, Debt Consolidation Loan, Not Specified, Credit-Builder Loan, and Credit-Builder Loan",103
"Auto Loan, Credit-Builder Loan, Home Equity Loan, and Payday Loan",406
"Student Loan, Student Loan, Payday Loan, and Home Equity Loan",718
"Mortgage Loan, Personal Loan, Home Equity Loan, Credit-Builder Loan, Home Equity Loan, and Payday Loan",131
"Credit-Builder Loan, Mortgage Loan, and Personal Loan",392
"Personal Loan, Student Loan, and Credit-Builder Loan",518
"Home Equity Loan, Mortgage Loan, Payday Loan, and Not Specified",871
"Debt Consolidation Loan, Personal Loan, Auto Loan, Credit-Builder Loan, Credit-Builder Loan, Not Specified, Debt Consolidation Loan, Auto Loan, and Payday Loan",344
"Student Loan, Auto Loan, Personal Loan, and Mortgage Loan",685
"Auto Loan, Debt Consolidation Loan, Not Specified, Credit-Builder Loan, Personal Loan, Home Equity Loan, Payday Loan, and Not Specified",827
"Home Equity Loan, Student Loan, Payday Loan, Home Equity Loan, Home Equity Loan, and Home Equity Loan",184
"Personal Loan, Student Loan, Debt Consolidation Loan, and Debt Consolidation Loan",252
"Home Equity Loan, Payday Loan, Payday Loan, and Debt Consolidation Loan",611
"Home Equity Loan, Personal Loan, Credit-Builder Loan, Credit-Builder Loan, Auto Loan, Payday Loan, and Mortgage Loan",189
"Credit-Builder Loan, Debt Consolidation Loan, and Debt Consolidation Loan",385
"Auto Loan, Personal Loan, Debt Consolidation Loan, Home Equity Loan, Payday Loan, Mortgage Loan, and Auto Loan",636
"Mortgage Loan, Student Loan, Debt Consolidation Loan, Payday Loan, and Home Equity Loan",118
"Mortgage Loan, Auto Loan, and Payday Loan",437
"Debt Consolidation Loan, Payday Loan, Home Equity Loan, Credit-Builder Loan, Student Loan, and Auto Loan",556
"Auto Loan, Personal Loan, and Debt Consolidation Loan",830
"Credit-Builder Loan, Payday Loan, Personal Loan, and Payday Loan",106
"Personal Loan, Debt Consolidation Loan, Auto Loan, and Not Specified",338
"Home Equity Loan, Mortgage Loan, Auto Loan, and Not Specified",651
"Home Equity Loan, Home Equity Loan, Credit-Builder Loan, Auto Loan, Payday Loan, Auto Loan, and Home Equity Loan",676
"Student Loan, Student Loan, Not Specified, and Not Specified",857
"Auto Loan, Payday Loan, Payday Loan, Credit-Builder Loan, Credit-Builder Loan, Home Equity Loan, Personal Loan, Mortgage Loan, and Debt Consolidation Loan",244
"Personal Loan, Mortgage Loan, Home Equity Loan, and Home Equity Loan",729
"Credit-Builder Loan, Not Specified, Mortgage Loan, Personal Loan, and Payday Loan",667
"Auto Loan, Mortgage Loan, Student Loan, Student Loan, and Debt Consolidation Loan",611
"Debt Consolidation Loan, Not Specified, Student Loan, Payday Loan, Home Equity Loan, and Debt Consolidation Loan",343
"Student Loan, Payday Loan, Not Specified, and Student Loan",920
